"id","airport_ref","airport_ident","type","description","frequency_mhz"
70518,6528,"00CA","CTAF","CTAF",122.9
307581,6589,"01FL","ARCAL",,122.9
75239,6589,"01FL","CTAF","CEDAR KNOLL TRAFFIC",122.8
60191,6756,"04CA","CTAF","CTAF",122.9
59287,6779,"04MS","UNIC","UNICOM",122.8
60682,6784,"04NV","UNIC","UNICOM",123
60091,6812,"05CL","CTAF","CTAF",122.9
63835,6853,"05UT","UNIC","UNICOM",122.8
70676,6868,"06FA","APP","PALM BEACH APP",124.6
70677,6868,"06FA","GND","GND",121.65
70678,6868,"06FA","TWR","TWR",120.4
65868,6887,"06MO","CTAF","CTAF",122.9
71176,6924,"07FA","UNIC","UNICOM",122.7
66637,6943,"07MT","CNTR","SALT LAKE CITY CNTR",126.85
69383,6954,"07TE","CNTR","HOUSTON CNTR",126.625
61673,7008,"08TE","UNIC","UNICOM",122.8
61013,7019,"09CL","CTAF","CTAF",122.9
59566,7021,"09FA","UNIC","UNICOM",122.8
68176,7054,"09TS","CNTR","ALBUQUERQUE CNTR",132.65
59735,7094,"0AZ2","UNIC","UNICOM",122.95
